2025-08-26 20:38:35 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 20:38:36 | INFO     | DF | Running on device cpu
2025-08-26 20:38:36 | INFO     | DF | Model loaded
2025-08-26 20:46:29 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 20:46:29 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 20:46:29 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 20:46:29 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 20:46:29 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 20:46:29 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 20:46:29 | INFO     | DF | Running on device cpu
2025-08-26 20:46:29 | INFO     | DF | Model loaded
2025-08-26 20:47:49 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 20:47:49 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 20:47:49 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 20:47:49 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 20:47:49 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 20:47:50 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 20:47:50 | INFO     | DF | Running on device cpu
2025-08-26 20:47:50 | INFO     | DF | Model loaded
2025-08-26 20:50:44 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 20:50:44 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 20:50:44 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 20:50:44 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 20:50:44 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 20:50:44 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 20:50:44 | INFO     | DF | Running on device cpu
2025-08-26 20:50:44 | INFO     | DF | Model loaded
2025-08-26 20:52:30 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 20:52:30 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 20:52:31 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 20:52:31 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 20:52:31 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 20:52:31 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 20:52:31 | INFO     | DF | Running on device cpu
2025-08-26 20:52:31 | INFO     | DF | Model loaded
2025-08-26 20:53:16 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 20:53:16 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 20:53:16 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 20:53:16 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 20:53:16 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 20:53:16 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 20:53:16 | INFO     | DF | Running on device cpu
2025-08-26 20:53:16 | INFO     | DF | Model loaded
2025-08-26 21:05:59 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 21:05:59 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 21:05:59 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 21:05:59 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 21:05:59 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 21:05:59 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 21:05:59 | INFO     | DF | Running on device cpu
2025-08-26 21:05:59 | INFO     | DF | Model loaded
2025-08-26 21:12:29 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 21:12:29 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 21:12:29 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 21:12:29 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 21:12:29 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 21:12:29 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 21:12:29 | INFO     | DF | Running on device cpu
2025-08-26 21:12:29 | INFO     | DF | Model loaded
2025-08-26 21:14:49 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 21:14:49 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 21:14:49 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 21:14:49 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 21:14:49 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 21:14:49 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 21:14:49 | INFO     | DF | Running on device cpu
2025-08-26 21:14:49 | INFO     | DF | Model loaded
2025-08-26 21:29:27 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 21:29:27 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 21:29:27 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 21:29:27 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 21:29:27 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 21:29:27 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 21:29:27 | INFO     | DF | Running on device cpu
2025-08-26 21:29:27 | INFO     | DF | Model loaded
2025-08-26 21:31:47 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 21:31:47 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 21:31:47 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 21:31:47 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 21:31:47 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 21:31:47 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 21:31:47 | INFO     | DF | Running on device cpu
2025-08-26 21:31:47 | INFO     | DF | Model loaded
2025-08-26 21:53:21 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 21:53:21 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 21:53:21 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 21:53:21 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 21:53:21 | INFO     | DF | Initializing model `deepfilternet3`
